cohort_id,gene,effect_size,log2fc,pvalue,n_prog,n_nonprog
GSE107994,CHI3L1,-0.3693115681764126,-0.096022752396637,0.0244558123633086,53,122
GSE107994,CHI3L2,-0.7300107415464419,-0.1566351937848273,0.0003746250897983,53,122
GSE107994,CHIC1,-0.9315826459640324,-0.3872092965042101,1.46687633927993e-06,53,122
GSE107994,CHIC2,0.6441940627960601,0.07695951975146,0.0005361367982456,53,122
GSE107994,CHID1,0.5962409855429975,0.0561074620551855,0.0004809128833957,53,122
GSE107994,CHIT1,0.5772865963272522,0.3877583414394466,0.0024777117701825,53,122
GSE107994,CHKA,-0.2000880856926034,-0.0238291696810439,0.2730249951186209,53,122
GSE107994,CHKB,-0.0336056690142377,-0.0080544122790491,0.8457024280481358,53,122
GSE107994,CHM,-0.6264902313965822,-0.2759425807702009,0.0009243363431007,53,122
GSE107994,CHMP1A,1.261628772913463,0.0770709697056797,1.831351058947989e-09,53,122
GSE107994,CHMP2A,1.2764738301386396,0.108866042935015,1.3898250704781295e-09,53,122
GSE107994,CHMP2B,0.5387889988364165,0.0947073009405254,0.0022268586142423,53,122
GSE107994,CHMP3,0.2256610093374791,0.0170479324321877,0.1496172711057718,53,122
GSE107994,CHMP4A,-0.1707364484813295,-0.0671731782852568,0.2989225759560968,53,122
GSE107994,CHMP4B,1.2206406193190271,0.0695273762031405,5.2365570787129704e-09,53,122
GSE107994,CHMP5,0.8770344064954381,0.1137142980888374,1.6828464681352305e-05,53,122
GSE107994,CHMP6,0.7365452540108197,0.0699969180008737,7.452496063562089e-05,53,122
GSE107994,CHMP7,-1.325829879770584,-0.0799223728319633,4.25177570649885e-10,53,122
GSE107994,CHN1,0.1014087398734494,0.0392903367984507,0.5736557032904728,53,122
GSE107994,CHN2,0.2284918528531214,0.0490166551709552,0.1821855173445428,53,122
GSE107994,CHORDC1,-0.7948270452681766,-0.2744953343910004,0.0002024912994928,53,122
GSE107994,CHPF,-0.2599010073716876,-0.0470618176684727,0.1637758467259309,53,122
GSE107994,CHPF2,1.006770062001644,0.0534899370002688,1.4321676859009856e-07,53,122
GSE107994,CHPT1,0.7851876805353507,0.1475084531975117,6.48767591285049e-06,53,122
GSE107994,CHRAC1,-0.1765069321690882,-0.0128483726688517,0.3466538874397562,53,122
