gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
PLEK2,0.77295302599811,0.0576390417704235,0.65998050412808,0.88592554786814,1.0,0.0,2,0.77295302599811
NQO2,0.7728866398405643,0.0576390417704235,0.6599141179705342,0.8858591617105943,1.0,0.0,2,0.7728866398405643
COL17A1,0.7726103459996976,0.0576390417704235,0.6596378241296675,0.8855828678697276,1.0,0.0,2,0.7726103459996976
PGRMC1,0.7705040670030886,0.0576390417704235,0.6575315451330586,0.8834765888731186,1.0,0.0,2,0.7705040670030886
SLITRK4,0.7701559598935236,0.0576390417704235,0.6571834380234935,0.8831284817635536,1.0,0.0,2,0.7701559598935236
SIRPA,0.7668929763215663,0.0576390417704235,0.6539204544515362,0.8798654981915963,1.0,0.0,2,0.7668929763215663
CASC3,0.7640821983535125,0.0667798343144373,0.6331937230972154,0.8949706736098096,1.0,0.002230030301932917,2,0.7640821983535125
AP1M2,0.7607725702164042,0.0576390417704235,0.6478000483463742,0.8737450920864342,1.0,0.0,2,0.7607725702164042
CCNY,0.7555509012152148,0.08043296589310235,0.5979022880647342,0.9131995143656955,1.0,0.006208248789663202,2,0.7555509012152148
LTF,0.7520981200427701,0.0576390417704235,0.6391255981727401,0.8650706419128001,1.0,0.0,2,0.7520981200427701
CA4,0.7519368723578637,0.0576390417704235,0.6389643504878336,0.8649093942278937,1.0,0.0,2,0.7519368723578637
REPS2,0.750589457285334,0.0576390417704235,0.637616935415304,0.863561979155364,1.0,0.0,2,0.750589457285334
ELMO2,0.7499508707752579,0.0576390417704235,0.6369783489052279,0.862923392645288,1.0,0.0,2,0.7499508707752579
H6PD,0.749320686729823,0.0576390417704235,0.636348164859793,0.862293208599853,1.0,0.0,2,0.749320686729823
ABHD2,0.7476899299559371,0.08241199511185891,0.5861624195366937,0.9092174403751805,1.0,0.006848364418350644,2,0.7476899299559371
HGF,0.7469868655153292,0.08165582254076886,0.5869414533354222,0.9070322776952362,1.0,0.006601894556170707,2,0.7469868655153292
TLR1,0.7463887067174392,0.07684018797587397,0.5957819382847263,0.8969954751501521,1.0,0.005087068790159684,2,0.7463887067174392
CLTC,0.7450239178909043,0.0576390417704235,0.6320513960208742,0.8579964397609343,1.0,0.0,2,0.7450239178909043
UBXN6,0.7444517212152792,0.07398793260597657,0.5994353733075652,0.8894680691229933,1.0,0.004234655572583282,2,0.7444517212152792
ALAS2,0.7443783013304623,0.0576390417704235,0.6314057794604323,0.8573508232004924,1.0,0.0,2,0.7443783013304623
CHPT1,0.7442662573673922,0.0576390417704235,0.6312937354973621,0.8572387792374222,1.0,0.0,2,0.7442662573673922
RIT1,0.742584539917245,0.08228513892509014,0.5813056676240684,0.9038634122104217,1.0,0.00680685364636268,2,0.742584539917245
PTPRE,0.7424756204991078,0.0576390417704235,0.6295030986290777,0.8554481423691378,1.0,0.0,2,0.7424756204991078
WWC3,0.7397779928519098,0.0576390417704235,0.6268054709818798,0.8527505147219399,1.0,0.0,2,0.7397779928519098
GOLGB1,0.7393817889699964,0.07805399779116107,0.5863959532993207,0.8923676246406721,1.0,0.005459947428630089,2,0.7393817889699964
DOCK2,0.7388300130042028,0.0576390417704235,0.6258574911341728,0.8518025348742329,1.0,0.0,2,0.7388300130042028
NPL,0.7384990263758775,0.06365291771887599,0.6137393076468806,0.8632587451048744,1.0,0.0014275816309994702,2,0.7384990263758775
MEF2A,0.7347857986263777,0.0576390417704235,0.6218132767563477,0.8477583204964078,1.0,0.0,2,0.7347857986263777
FAS,0.7322935055490901,0.06859863660600708,0.5978401778013163,0.866746833296864,1.0,0.00271554590937484,2,0.7322935055490901
SNX27,0.7319650709011037,0.0576390417704235,0.6189925490310737,0.8449375927711338,1.0,0.0,2,0.7319650709011037
SNX10,0.7314941176426916,0.07291027420467858,0.5885899802015215,0.8743982550838616,1.0,0.00392129818792545,2,0.7314941176426916
AP2A1,0.7312414310622467,0.0870214948179529,0.560679301219059,0.9018035609054345,1.0,0.008401164185919815,2,0.7312414310622467
SLC16A5,0.73012417603869,0.0730067666652129,0.5870309133748727,0.8732174387025072,1.0,0.0039491609029547875,2,0.73012417603869
WASF1,0.7300853172613938,0.0576390417704235,0.6171127953913638,0.8430578391314238,1.0,0.0,2,0.7300853172613938
RHOBTB1,0.7293953277897725,0.0576390417704235,0.6164228059197424,0.8423678496598025,1.0,0.0,2,0.7293953277897725
PINK1,0.7264069753957445,0.0576390417704235,0.6134344535257145,0.8393794972657745,1.0,0.0,2,0.7264069753957445
