gene,module
MRM1,M5
MRNIP,M5
MROH1,M5
MRPL1,M5
MRPL13,M5
MRPL20,M5
MRPL24,M5
MRPL37,M5
MRPL38,M5
MRPL4,M5
MRPL41,M5
MRPL46,M5
MRPL49,M5
MRPL51,M5
MRPL52,M5
MRPL54,M5
MRPL9,M5
MRPS15,M5
MRPS18A,M5
MRPS18C,M5
MRPS22,M5
MRPS25,M5
MRPS26,M5
MRPS34,M5
MRPS9,M5
MRTFB,M5
MRTO4,M5
MS4A1,M5
MSANTD2,M5
MSS51,M5
MSTO2P,M5
MT-ATP8,M5
MT-TP,M5
MT1E,M5
MT1F,M5
MT1X,M5
MT2P1,M5
MTG1,M5
MTHFSD,M5
MTMR12,M5
MTMR2,M5
MTPN,M5
MTRF1,M5
MTUS1,M5
MUS81,M5
MVB12B,M5
MVP-DT,M5
MXRA8,M5
MYBPH,M5
MYCT1,M5
MYEF2,M5
MYH3,M5
MYO5A,M5
MYSM1,M5
MZT1,M5
N4BP2,M5
N4BP2L1,M5
NAA10,M5
NAA16,M5
NAA30,M5
NAA35,M5
NACA3P,M5
NACC2,M5
NAIPP2,M5
NAP1L2,M5
NARS1,M5
NBDY,M5
NBL1,M5
NBPF15,M5
NBPF20,M5
NBPF8,M5
NBPF9,M5
NCBP2,M5
NCBP2AS2,M5
NCKAP1,M5
NCOA5,M5
NCOA6,M5
NCR1,M5
NDE1,M5
NDRG2,M5
NDUFA10,M5
NDUFA13,M5
NDUFA3,M5
NDUFA6-DT,M5
NDUFAF8,M5
NDUFB7,M5
NDUFC1,M5
NDUFS7,M5
NDUFV1,M5
NEDD4,M5
NEIL2,M5
NEK3,M5
NEMP2,M5
NENF,M5
NEU3,M5
NFAT5,M5
NFE2L1,M5
NINL,M5
NIPA2,M5
NIPSNAP3A,M5
NIPSNAP3B,M5
NKRF,M5
NLGN2,M5
NLRP2,M5
NOL4L,M5
NOL6,M5
NOPCHAP1,M5
NOSIP,M5
NOTCH4,M5
NPIPA5,M5
NPIPA7,M5
NPIPB13,M5
NPIPB3,M5
NQO1,M5
NR4A1,M5
NR4A2,M5
NRAV,M5
NRBP2,M5
NRDE2,M5
NRXN2,M5
NSD1,M5
